,Reigion Name,Country,Urbanisation,iso_3166_2_code,Reigion Area (ha),"COVID-19 Death Rate April-May (per 100,000)",Gross Income Per Head (2018 pounds),Mobility Retail & Recreation Average Post Lockdown (% from baseline),Mobility Retail & Recreation Rate of Change Post Lockdown (% from baseline per day),Mobility Parks Average Post lockdown (% from baseline),Mobility Park Rate of Change Post lockdown  (% from baseline per day),Mobility Grocery & Pharmacy Average Post Lockdown (% from baseline),Mobility Grocery & Pharmacy Rate of Change Post Lockdown (% from baseline per day),Mobility Transit Stations Average Post lockdown (% from baseline),Mobility Transit Station Rate of Change Post lockdown  (% from baseline per day),Mobility Workplaces Average Post lockdown (% from baseline),Mobility Workplaces Rate of Change Post lockdown  (% from baseline per day),Mobility Residential Average Post Lockdown (% from Baseline),Mobility Residential Rate of Change Post Lockdown (% from Baseline),Greenspace Number,Greenspace Area (ha),Greenspace Average Area (ha),Greenspace Fraction,Greenspace (non-sport) Number,Greenspace (non-sport) Area (ha),Greenspace (non-sport) Average Area (ha),Greenspace (non-sport) Fraction,Greenspace (sport) Number,Greenspace (sport) Area (ha),Greenspace (sport) Average Area (ha),Greenspace (sport) Fraction,Alloments Number,Alloments Area (ha),Alloments Average Area (ha),Alloments Fraction,Bowling Number,Bowling Area (ha),Bowling Average Area (ha),Bowling Fraction,Cemetery Number,Cemetery Area (ha),Cemetery Average Area (ha),Cemetery Fraction,Golf Course Number,Golf Course Area (ha),Golf Course Average Aera,Golf Course Fraction,Other Sport Number,Other Sport Area (ha),Other Sport Average Area (ha),Other Sport Fraction,Religious Grounds Number,Religious Grounds Area (ha),Religious Grounds Average Area (ha),Religious Grounds Fraction,Tennis Court Number,Tennis Court Area (ha),Tennis Court Average Area (ha),Tennis Court Fraction,Public Park or Garden Number,Public Park or Garden Area (ha),Public Park or Garden Average Area (ha),Public Park or Garden Fraction,Playing Field Number,Playing Field Area (ha),Playing Field Average Area (ha),Playing Field Fraction,Play Space Number,Play Space Area (ha),Play Space Average Aera,Play Space Fraction
116,Stoke-on-Trent,England,Urban,GB-STE,11229.286557436862,34,15485.0,-65.56989247311827,0.2943511085912086,-68.27027027027027,0.6111902405265999,-22.193548387096776,0.23246098296081885,-61.54838709677419,0.25384202202261963,-49.473118279569896,0.3027065739607889,18.21505376344086,-0.11696159470024765,600.0,1844.5841623126535,3.074306937187756,0.16426548141573907,451.0,1562.2009498339326,3.4638601991883204,0.13911845083331031,232.0,490.15509002560367,2.1127374570069124,0.04364970895688709,76.0,73.3379583583672,0.9649731362943053,0.006530954391737148,39.0,9.158321775000008,0.23482876346153866,0.0008155746786009919,13.0,89.9696058229052,6.920738909454245,0.008012050040999325,7.0,195.1699393796264,27.8814199113752,0.01738043983305159,91.0,75.99262760909441,0.8350838198801583,0.006767360261081456,53.0,28.5239388055228,0.5381875246325056,0.0025401381164889894,12.0,2.0623237150003053,0.17186030958335877,0.0001836558096947381,124.0,1154.0414402502568,9.306785808469813,0.1027706822109696,83.0,207.77187754688256,2.5032756330949706,1.0,102.0,8.55612905000001,0.08388361813725499,1.0
117,Suffolk,England,Rural,GB-SFK,379781.380575377,15.3,20381.0,-67.2258064516129,0.2953358598669095,-67.2258064516129,1.1570379875264838,-25.397849462365592,0.2946793590164423,-45.03225806451613,0.4523440064456448,-51.473118279569896,0.3057205096833878,19.43010752688172,-0.11275402106770918,2666.0,5504.0555527880415,2.06453696653715,0.014492694571938409,2230.0,3620.5558883390777,1.623567662932322,0.009533263275976976,822.0,2741.637544616789,3.3353254800690864,0.0072189888310563,254.0,239.7197397549177,0.943778502972117,0.0006312045614025024,132.0,30.242090164999826,0.2291067436742411,7.963026022808807e-05,134.0,140.18322807252446,1.0461434930785407,0.00036911558923753403,43.0,1566.2347359181847,36.4240636260043,0.004124042978477,160.0,275.0781413057844,1.7192383831611526,0.0007243065494391406,591.0,268.5180145437284,0.4543452022736521,0.0007070331203096839,101.0,11.944697060000681,0.11826432732673942,3.145150781721897e-05,173.0,2046.2015457769537,11.827754599866784,0.005387840611556349,386.0,858.1378801678192,2.2231551299684433,1.0,692.0,67.7954800231262,0.09797034685422862,1.0
118,Surrey,England,Rural,GB-SRY,168941.16493174867,17.7,30359.5,-69.86021505376344,0.20418668496911457,-69.86021505376344,1.0176807615409866,-25.666666666666668,0.2137805496702575,-62.97849462365591,0.29931962639133414,-61.39784946236559,0.3108829936438781,24.43010752688172,-0.11846856256154699,2682.0,10715.12769278333,3.9952004820221214,0.06342520307062038,1952.0,5026.390408029474,2.574995086080673,0.029752312943148635,1190.0,6991.069518719421,5.874848335058337,0.04138168173247636,213.0,221.0979367044691,1.0380184821806062,0.0013087274306045628,93.0,25.1503046821175,0.2704333836786828,0.0001488701980495878,93.0,301.461274716851,3.2415190829768923,0.0017844157452012346,100.0,4963.612409869378,49.636124098693784,0.02938071613200164,275.0,654.5298563382919,2.3801085685028798,0.0038743065173175435,316.0,162.08557012639434,0.5129290193873238,0.0009594202229626867,262.0,45.44471386404424,0.1734531063513139,0.00026899728010283143,254.0,2987.6249461482303,11.762302937591457,0.017684410708042737,460.0,1302.3322339655954,2.83115703035999,1.0,616.0,51.78844636793275,0.08407215319469602,1.0
119,Swansea,Wales,Urban,GB-SWA,37882.48843946757,16.4,15755.0,-67.45161290322581,0.2308943332040223,-68.48275862068965,0.7798446821521143,-30.365591397849464,0.2644952403688341,-59.86021505376344,0.22392647190474757,-55.236559139784944,0.26110829279937936,20.488372093023255,-0.10346839493473248,483.0,1277.4630670560794,2.644851070509481,0.03372173053249492,378.0,824.0596442201238,2.1800519688363065,0.021753049447553817,182.0,673.1084612028122,3.6983981384769904,0.01776832750251801,22.0,10.628414264999792,0.48310973931817236,0.00028056272707594,26.0,8.2952033949994,0.3190462844230538,0.00021897197720403995,38.0,56.000735935818646,1.4737035772583855,0.0014782750089213973,10.0,358.1075655009551,35.81075655009551,0.009453116208909434,51.0,84.57564481500138,1.658345976764733,0.002232578911761428,76.0,29.662435379999224,0.3902952023684108,0.0007830117978494689,18.0,2.4250091249996104,0.13472272916664502,6.401398706620165e-05,37.0,498.3696859099979,13.469450970540484,0.013155674467012452,77.0,219.7050383668568,2.853312186582556,1.0,128.0,9.69333436245163,0.07572917470665336,1.0
120,Swindon,England,Urban,GB-SWD,22343.462998216277,25.5,19804.0,-67.72043010752688,0.24123422159887795,-77.6470588235294,-0.037254348568797196,-27.849462365591396,0.11357464713079284,-59.655913978494624,0.22667183909760985,-54.913978494623656,0.3227895317955298,22.45679012345679,-0.1592927715127502,352.0,881.6444031218127,2.5046715997778772,0.039458717889531994,264.0,487.74460884528673,1.8475174577472981,0.021829409742089863,127.0,490.537109036525,3.862496921547441,0.02195439037698344,42.0,40.08509596499896,0.9544070467856896,0.0017940413251159428,14.0,4.119073574999527,0.2942195410713948,0.00018435251399160287,9.0,16.667405809999792,1.8519339788888658,0.0007459634082384806,8.0,223.5441778765252,27.94302223456565,0.01000490290580163,44.0,161.47843153500082,3.6699643530682007,0.00722709955694388,31.0,15.395139649999997,0.49661740806451604,0.0006890220934520769,22.0,4.758111289999827,0.21627778590908306,0.00021295317070499218,20.0,307.15027188643325,15.357513594321663,0.013746762169810188,39.0,96.63731475999955,2.477879865641014,1.0,123.0,11.809380773855397,0.09601122580370242,1.0
121,Thurrock,England,Urban,GB-THR,16230.79486565657,19.1,18976.0,-68.23655913978494,0.33005580257228967,-71.64285714285714,0.4236530522079013,-26.666666666666668,0.2865327802811018,-49.924731182795696,0.3659395422398616,-50.96774193548387,0.33475575184267864,22.561643835616437,-0.15626584613413144,293.0,837.9064824665463,2.8597490869165405,0.051624488474036986,236.0,489.79187216654407,2.0753892888412886,0.030176702756740247,98.0,489.0389606850033,4.990193476377585,0.030130314918820254,29.0,31.221355304998568,1.0765984587930542,0.0019235875730929952,11.0,3.5486425850007945,0.3226038713637086,0.00021863640162870387,7.0,18.40394760499953,2.62913537214279,0.0011338907156014414,6.0,241.4380328100016,40.23967213500027,0.014875305541620185,31.0,102.23445598499973,3.297885676935475,0.006298795396725885,35.0,13.693795672757672,0.39125130493593346,0.0008436922397271471,9.0,0.8934789200000666,0.09927543555556295,5.504837732196448e-05,35.0,272.1616520937873,7.776047202679638,0.016768226962788235,41.0,140.9243503850012,3.4371792776829557,1.0,89.0,13.386771104999584,0.15041315848314138,1.0
122,Torbay,England,Urban,GB-TOB,5203.457741191136,7.3,18412.0,-68.04301075268818,0.33845602936349234,-69.55813953488372,1.1694805777162367,-19.86021505376344,0.2879949867207781,-43.01075268817204,0.455984602070962,-51.98924731182796,0.3166273760854644,18.58730158730159,-0.10858135518335538,250.0,428.19440346966405,1.7127776138786561,0.08229035859752078,187.0,288.5890792085514,1.54325710806712,0.055461021029160854,92.0,189.68626198111144,2.0618071954468635,0.03645388728336053,20.0,16.411999879999446,0.8205999939999723,0.0031540565324630725,9.0,3.3565387500000097,0.37294875000000105,0.000645059288831979,5.0,17.85303244999931,3.570606489999862,0.0034309940308869563,4.0,93.09144942070351,23.272862355175878,0.017890305648834523,37.0,38.93526776640802,1.0523045342272437,0.007482575952946099,23.0,10.746016004999753,0.4672180871739023,0.002065168305285373,13.0,4.222068324001202,0.32477448646163093,0.000811396677747347,51.0,187.31875898560895,3.6729168428550776,0.03599890078913745,29.0,50.08093771999869,1.7269288868965065,1.0,59.0,6.178334167945206,0.10471752827025772,1.0
123,Torfaen Principal Area,Wales,Rural,GB-TOF,17504.96295484532,5.8,,-64.95698924731182,0.19938229238160607,,,-25.526881720430108,0.14446002805049088,-35.141304347826086,0.36221606398219186,-52.075268817204304,0.3111515621736146,20.714285714285715,-0.06779331344419746,303.0,438.18125516496406,1.4461427563200133,0.02503182990419736,258.0,262.9358743149663,1.0191312957944432,0.015020647286899084,105.0,269.9286721549951,2.570749258619001,0.015420122444776708,56.0,26.08460360500096,0.4657964929464457,0.0014901261814884803,10.0,2.1813051300000588,0.21813051300000588,0.00012461066816461217,10.0,18.12745235000083,1.812745235000083,0.0010355607376468744,5.0,125.07495580999782,25.014991161999564,0.007145113996106884,23.0,47.10406460499914,2.048002808913006,0.0026908977029260653,33.0,21.01045969500022,0.6366805968181884,0.0012002573069818802,7.0,0.8850553050004106,0.1264364721429158,5.0560250100696735e-05,19.0,96.97811056125045,5.104111082171076,0.005540035178104002,60.0,94.68329130499775,1.5780548550832958,1.0,80.0,6.051956798716145,0.07564945998395181,1.0
124,Tyne and Wear,England,Urban,,55115.64435629632,30.4,17333.0,-68.70967741935483,0.23563904389603407,-68.70967741935483,0.9650413297126318,-23.93548387096774,0.2264181910417475,-58.376344086021504,0.2690609053743546,-56.55913978494624,0.27696875652770747,20.376344086021504,-0.0998328906926084,2091.0,5566.166044151292,2.661963674869102,0.10099067350403612,1660.0,3925.4793479006344,2.364746595120864,0.07122259739039401,694.0,2440.9261689952073,3.51718468154929,0.044287356112826796,353.0,337.6162260249994,0.9564199037535394,0.006125597005497599,100.0,33.332296804997654,0.3333229680499765,0.000604770155448429,54.0,272.01463104499453,5.037307982314713,0.004935343389737945,29.0,1110.978039825662,38.30958758019524,0.020157217661172927,229.0,482.6911825000011,2.107821757641926,0.00875778897511627,240.0,112.42910427000174,0.46845460112500725,0.002039876437680766,73.0,13.685177120001853,0.18746817972605279,0.00024829932190457066,309.0,2351.292543356091,7.6093609817349215,0.042661073290844745,263.0,800.2394727445462,3.0427356378119628,1.0,441.0,51.88737046000131,0.11765843641723653,1.0
125,Vale of Glamorgan,Wales,Rural,GB-VGL,32956.093882580535,14.8,17690.0,-61.02150537634409,0.38226254065829096,-62.883720930232556,0.748195478956756,-23.774193548387096,0.31133060786010575,-56.25806451612903,0.27274626242129457,-56.806451612903224,0.28020649935841946,23.56451612903226,-0.07189002114977883,409.0,1209.8520085324596,2.9580733704950113,0.03671102567079244,325.0,536.3146781363735,1.6501990096503798,0.01627361179535452,125.0,783.9415407234677,6.271532325787741,0.023787453195047256,32.0,24.791197578494046,0.7747249243279389,0.0007522492704026986,15.0,3.9106621199998375,0.2607108079999892,0.00011866279219658613,14.0,37.407632630001025,2.6719737592857875,0.001135074829052281,13.0,573.5500950711261,44.11923808239431,0.017403461014361445,36.0,92.85330503495933,2.579258473193315,0.0028174851475355946,63.0,16.995712815001045,0.2697732192857309,0.000515707743628695,20.0,3.2232681700002144,0.1611634085000107,9.780492134427144e-05,31.0,336.84187466446053,10.865866924660017,0.010220928361977499,41.0,110.40421032738267,2.6927856177410407,1.0,144.0,9.874050121034395,0.0685697925071833,1.0
