,Reigion Name,Country,Urbanisation,iso_3166_2_code,Reigion Area (ha),"COVID-19 Death Rate April-May (per 100,000)",Gross Income Per Head (2018 pounds),Mobility Retail & Recreation Average Post Lockdown (% from baseline),Mobility Retail & Recreation Rate of Change Post Lockdown (% from baseline per day),Mobility Parks Average Post lockdown (% from baseline),Mobility Park Rate of Change Post lockdown  (% from baseline per day),Mobility Grocery & Pharmacy Average Post Lockdown (% from baseline),Mobility Grocery & Pharmacy Rate of Change Post Lockdown (% from baseline per day),Mobility Transit Stations Average Post lockdown (% from baseline),Mobility Transit Station Rate of Change Post lockdown  (% from baseline per day),Mobility Workplaces Average Post lockdown (% from baseline),Mobility Workplaces Rate of Change Post lockdown  (% from baseline per day),Mobility Residential Average Post Lockdown (% from Baseline),Mobility Residential Rate of Change Post Lockdown (% from Baseline),Greenspace Number,Greenspace Area (ha),Greenspace Average Area (ha),Greenspace Fraction,Greenspace (non-sport) Number,Greenspace (non-sport) Area (ha),Greenspace (non-sport) Average Area (ha),Greenspace (non-sport) Fraction,Greenspace (sport) Number,Greenspace (sport) Area (ha),Greenspace (sport) Average Area (ha),Greenspace (sport) Fraction,Alloments Number,Alloments Area (ha),Alloments Average Area (ha),Alloments Fraction,Bowling Number,Bowling Area (ha),Bowling Average Area (ha),Bowling Fraction,Cemetery Number,Cemetery Area (ha),Cemetery Average Area (ha),Cemetery Fraction,Golf Course Number,Golf Course Area (ha),Golf Course Average Aera,Golf Course Fraction,Other Sport Number,Other Sport Area (ha),Other Sport Average Area (ha),Other Sport Fraction,Religious Grounds Number,Religious Grounds Area (ha),Religious Grounds Average Area (ha),Religious Grounds Fraction,Tennis Court Number,Tennis Court Area (ha),Tennis Court Average Area (ha),Tennis Court Fraction,Public Park or Garden Number,Public Park or Garden Area (ha),Public Park or Garden Average Area (ha),Public Park or Garden Fraction,Playing Field Number,Playing Field Area (ha),Playing Field Average Area (ha),Playing Field Fraction,Play Space Number,Play Space Area (ha),Play Space Average Aera,Play Space Fraction
99,Renfrewshire,Scotland,Rural,GB-RFW,0,,,-70.07526882,0.228745785,0.173076923,0.429099192,-18.12903226,0.236206022,-77.16129032,0.083077199,-59.96774194,0.256423264,23.81944444,-0.112053389,393,1743.872874,4.437335556,0.063974163,299,938.83663,3.13992184,0.034441322,143,956.1554165,6.686401514,0.035076664,6,3.017201219,0.50286687,0.000110686,35,13.08060393,0.373731541,0.000479863,19,49.68069465,2.614773403,0.001822542,14,706.2438255,50.44598753,0.02590863,40,84.86778617,2.121694654,0.003113384,45,20.63262473,0.458502772,0.00075691,5,0.844027975,0.168805595,3.10E-05,27,703.561725,26.05784167,0.025810237,49,151.119173,3.084064754,1,153,10.82521152,0.070753016,1
100,Rhondda Cynon Taff,Wales,Urban,GB-RCT,0,28.8,,-64.74193548,0.221703321,-15.4,0.337100237,-21.96774194,0.266807914,-48.23655914,0.218853511,-53.09677419,0.295306019,20.22093023,-0.109371861,662,1007.786203,1.522335654,0.025058133,563,695.8335046,1.235938729,0.017301575,194,489.5069134,2.523231513,0.012171361,125,88.53279843,0.708262387,0.002201327,28,8.063946845,0.287998102,0.000200506,27,89.32171849,3.308211796,0.002220943,9,240.4571972,26.71746636,0.005978856,43,61.17728304,1.422727512,0.001521145,55,16.2862466,0.296113575,0.00040495,19,2.25427102,0.118645843,5.61E-05,35,304.3584689,8.695956255,0.007567731,95,177.5542153,1.86899174,1,226,19.78005679,0.087522375,1
101,Rutland,England,Urban,GB-RUT,0,21.6,18957,-68.42857143,0.260370805,-60,0.725274725,-23.64285714,-1.465934066,,,-55.77777778,0.264065522,,,225,2200.382405,9.779477354,0.068666679,190,1827.192105,9.616800551,0.057020641,63,427.7071736,6.789002756,0.013347331,27,20.17571898,0.747248851,0.000629618,8,1.293780105,0.161722513,4.04E-05,20,15.03927294,0.751963647,0.000469326,6,343.1963984,57.19939973,0.010710028,15,27.65203995,1.84346933,0.000862929,46,14.31993239,0.311302878,0.000446878,6,1.048081475,0.174680246,3.27E-05,7,1715.345152,245.0493074,0.053530266,28,54.51687366,1.947031202,1,62,7.795154825,0.125728304,1
102,Scottish Borders,Scotland,Rural,GB-SCB,0,,20243,-66.55434783,0.267271228,-14.07692308,0.361736466,-26.27956989,0.226641998,-36.62365591,0.093372326,-52.59139785,0.247023365,18.31578947,-0.03531719,681,2072.455828,3.043253785,0.004393849,575,1124.674187,1.955955107,0.002384441,207,1142.208399,5.517914972,0.002421615,21,10.55263601,0.502506477,2.24E-05,29,7.10085295,0.244856998,1.51E-05,91,65.31963794,0.717798219,0.000138485,27,886.9404327,32.84964565,0.001880417,30,50.78964472,1.692988157,0.00010768,91,42.03671553,0.461941929,8.91E-05,20,2.95071066,0.147535533,6.26E-06,67,797.6489128,11.90520765,0.001691109,101,194.4267581,1.925017407,1,204,14.68952609,0.072007481,1
103,Shetland Islands,Scotland,Rural,GB-ZET,0,,20890,-76.16666667,-1.076923077,,,-40.25,-0.444055944,-47.4137931,0.258832913,-54.82089552,0.259783891,,,173,198.8666369,1.149518132,0.001177771,145,40.87617273,0.281904639,0.000242086,40,170.3688201,4.259220502,0.001008995,1,0.36029066,0.36029066,2.13E-06,1,0.149948515,0.149948515,8.88E-07,52,11.44074515,0.22001433,6.78E-05,5,139.5668222,27.91336445,0.000826573,20,18.15253703,0.907626851,0.000107507,28,8.04572217,0.28734722,4.77E-05,2,0.12115639,0.060578195,7.18E-07,3,3.89856481,1.299521603,2.31E-05,12,12.37835591,1.03152966,1,49,4.752494016,0.096989674,1
104,Shropshire,England,Rural,GB-SHR,0,23.4,18841,-66.7311828,0.284443914,2.634408602,0.966160365,-24.98924731,0.303601802,-46.16129032,0.440273343,-51.61290323,0.304705917,19.23655914,-0.107725821,1193,2726.740466,2.285616485,0.008469305,922,1399.008636,1.517362946,0.004345346,456,1700.814673,3.729856739,0.005282761,63,40.39722211,0.641225748,0.000125475,88,19.47546565,0.22131211,6.05E-05,74,62.57874826,0.84565876,0.000194371,28,1066.958894,38.10567479,0.003313994,90,233.1866209,2.590962454,0.000724282,305,111.1420017,0.364400006,0.000345209,65,8.11084965,0.124782302,2.52E-05,45,789.1864661,17.53747702,0.002451227,185,373.0828426,2.016664014,1,250,22.62135548,0.090485422,1
105,Slough,England,Urban,GB-SLG,0,19.7,,-57.10752688,0.386992331,10.95890411,0.612842646,-23.55913978,0.226970249,-68.84946237,0.26164543,-54.96774194,0.28590612,24.56521739,-0.12664233,244,712.4063583,2.91969819,0.133958587,190,480.6044113,2.529496902,0.090371299,89,386.8200866,4.346293107,0.072736398,20,28.20375916,1.410187958,0.005303344,5,1.646602721,0.329320544,0.000309622,7,15.50817497,2.215453567,0.002916107,6,146.4946239,24.41577065,0.027546375,31,80.94580137,2.611154883,0.015220787,26,10.09875917,0.388413814,0.001898938,12,2.71491898,0.226243248,0.000510505,20,262.4431031,13.12215515,0.049348952,35,155.0181396,4.429089703,1,82,9.332475344,0.113810675,1
106,Somerset,England,Rural,GB-SOM,0,8.5,20441,-66.95698925,0.284190266,-0.64516129,0.899316642,-24.64516129,0.277849064,-45.51612903,0.473143147,-49.78494624,0.290665752,18.77419355,-0.105771239,1975,3104.563401,1.571930836,0.009080634,1691,1941.838977,1.148337656,0.005679745,636,1909.595157,3.002508109,0.005585434,174,121.8341142,0.700196059,0.000356356,31,9.90372057,0.319474857,2.90E-05,97,87.41130232,0.901147447,0.000255672,27,851.8899869,31.551481,0.00249172,126,289.3222985,2.296208718,0.000846248,440,152.5705919,0.346751345,0.000446258,100,11.6084184,0.116084184,3.40E-05,79,775.3747465,9.814870209,0.002267918,352,746.8707327,2.121791854,1,549,57.77748909,0.105241328,1
107,South Ayrshire Council,Scotland,Rural,GB-SAY,0,,19825,-70.09677419,0.238772343,-10.55405405,0.811937548,-23.2688172,0.243875145,-52.35483871,0.282026797,-56.16129032,0.248485572,17.625,0.001417298,410,1415.544867,3.452548457,0.011732818,315,546.1935854,1.73394789,0.004527154,134,972.3491522,7.256336956,0.008059367,4,2.07441174,0.518602935,1.72E-05,35,12.76486837,0.364710525,0.000105802,38,37.56036826,0.988430744,0.000311321,16,812.5275126,50.78296954,0.006734677,32,40.66321081,1.270725338,0.000337039,36,12.39462281,0.344295078,0.000102733,12,3.39569007,0.282974173,2.81E-05,51,374.4306144,7.341776753,0.003103488,39,102.9978703,2.640971034,1,147,16.73569792,0.113848285,1
108,South Gloucestershire,England,Rural,GB-SGC,0,16.4,22553,-66.74193548,0.199233088,49.31111111,1.215566846,-24.43010753,0.214645937,-54.03225806,0.278266838,-56.52688172,0.28745785,23.28888889,-0.131830849,586,1915.930461,3.269505907,0.038569491,472,1118.057915,2.368766768,0.022507563,207,1076.337254,5.19969688,0.021667686,51,40.15094819,0.787273494,0.000808277,5,1.271775755,0.254355151,2.56E-05,20,17.38848836,0.869424418,0.000350047,12,612.749809,51.06248409,0.012335233,63,180.2720224,2.861460673,0.003629046,89,46.65396986,0.524201908,0.000939189,34,3.57893933,0.105262921,7.20E-05,48,718.061849,14.95962185,0.014455264,93,278.4647076,2.994244168,1,171,17.33795169,0.10139153,1
